id;code;created_by;created_at;receiver;sender;amount;currency;type
1;Avon quantify Fantastic;Tenge;2023-01-16T20:33:20;Visionary;compress b Assistant;10168;EUR;DEPOSIT
2;Azerbaïdjan deliverables Coordinateur;bypassing European;2023-01-16T07:31:56;Front-line Chair Wooden;Executif Gloves;45055;XOF;WITHDRAW
3;supply-chains;dedicated Keyboard;2023-01-16T00:07:16;pricing Clothing;Népal Cuban Awesome;45233;EUR;WITHDRAW
4;Sports Bacon;toolset revolutionize web-enabled;2023-01-16T16:42:17;Executif Salvador de;a Limousin viral;52615;USD;PAYMENT
5;Account calculate;Midi-Pyrénées;2023-01-16T06:00:48;synthesizing Generic Iran;override auxiliary b;55092;EUR;DEPOSIT
6;transmitter models;compressing c grow;2023-01-16T14:47:35;systems;Avon Pula;59872;USD;PAYMENT
7;Leu calculating generate;Sports bleeding-edge circuit;2023-01-16T19:55:29;Nord-Pas-de-Calais bandwidth;generation extranet;86304;EUR;PAYMENT
8;Incredible;generate b invoice;2023-01-16T13:52:59;Soap Multi-layered connecting;synthesizing deposit Card;90442;XOF;WITHDRAW
9;b Dong;XSS auxiliary Refined;2023-01-16T21:52:16;deposit matrix Ouzbékistan;Music model;48156;XOF;PAYMENT
10;Sausages incubate;Francs-Bourgeois;2023-01-16T00:30:27;payment hub;Convertible whiteboard;90506;EUR;DEPOSIT
